nam,karkard,az,gheimat
پرایدهاچبک شاسی پلمپ بشرط بدون خال,"۲۰۲,۹۹۰ کیلومتر",در جی,"۱۱۵,۰۰۰,۰۰۰ تومان"
پراید 111 SX، مدل ۱۳۹۰,"۷۰,۰۰۰ کیلومتر",در آهنگ,"۲۱۵,۰۰۰,۰۰۰ تومان"
پراید 131 SE، مدل ۱۳۹۲,"۵۹,۰۰۰ کیلومتر",لحظاتی پیش در اتحاد,"۲۸۰,۰۰۰,۰۰۰ تومان"
پراید سفری، مدل ۱۳۷۸,"۳۴۰,۰۰۰ کیلومتر",دقایقی پیش در شهرک کیانشهر,"۱۳۵,۰۰۰,۰۰۰ تومان"
پراید 111 SE، مدل ۱۳۹۶,"۴۰,۰۰۰ کیلومتر",دقایقی پیش در خاوران,"۳۶۵,۰۰۰,۰۰۰ تومان"
پراید 111 SE، مدل ۱۳۹۷,"۸۸,۰۰۰ کیلومتر",دقایقی پیش در شهرک ولیعصر,"۳۲۰,۰۰۰,۰۰۰ تومان"
وانت پراید 151 SE، مدل ۱۳۹۹,"۵۰,۰۰۰ کیلومتر",دقایقی پیش در اوقاف,"۳۱۹,۵۰۰,۰۰۰ تومان"
پراید 131 EX، مدل ۱۳۹۴,"۱۹۹,۰۰۰ کیلومتر",یک ربع پیش در بهارستان,"۱۵۰,۰۰۰,۰۰۰ تومان"
پراید صندوق‌دار بنزینی، مدل ۱۳۸۷,"۲۴۵,۰۰۰ کیلومتر",یک ربع پیش در خانی‌آباد نو,"۳۵۵,۰۰۰,۰۰۰ تومان"
پراید 131 SX، مدل ۱۳۹۰,"۳۲۰,۰۰۰ کیلومتر",یک ربع پیش در مرزداران,"۱۷۵,۰۰۰,۰۰۰ تومان"
پراید صندوق‌دار بنزینی، مدل ۱۳۸۸ خیلی تمیز,"۱۶۵,۰۰۰ کیلومتر",یک ربع پیش در شهرک دانشگاهی,"۱۸۰,۰۰۰,۰۰۰ تومان"
پراید 111 SE، مدل ۱۳۹۷,"۷۳,۰۰۰ کیلومتر",یک ربع پیش در فلاح,"۳۴۵,۰۰۰,۰۰۰ تومان"
پراید 132 SL، مدل ۱۳۸۹ بیرنگ شاسی سالم,"۳۸۴,۰۰۰ کیلومتر",در تهران‌سر,"۲۲۸,۰۰۰,۰۰۰ تومان"
پراید Saba GTXI، مدل ۱۳۸۴,"۳۷۰,۰۰۰ کیلومتر",در سرو آزاد,"۱۴۷,۰۰۰,۰۰۰ تومان"
پراید 131 EX، مدل ۱۳۹۱,"۱۹۰,۰۰۰ کیلومتر",در نظام‌آباد,"۲۱۰,۰۰۰,۰۰۰ تومان"
پراید مدل ۹۶,"۲۱۰,۰۰۰ کیلومتر",نیم ساعت پیش در یافت‌آباد,"۳۰۰,۰۰۰,۰۰۰ تومان"
پراید 111 SE، مدل ۱۳۹۵,"۱۵۵,۰۰۰ کیلومتر",در تهرانپارس غربی,"۳۱۰,۰۰۰,۰۰۰ تومان"
پراید 132 . مدل۱۳۸۸,"۱۷۰,۰۰۰ کیلومتر",نیم ساعت پیش در تهران‌سر,"۲۲۵,۰۰۰,۰۰۰ تومان"
پراید 131 SE، مدل ۱۳۹۶,"۲۰۰,۰۰۰ کیلومتر",در تهرانپارس شرقی,"۲۸۵,۰۰۰,۰۰۰ تومان"
وانت پراید 151 SE، مدل ۱۳۹۹,"۵۴,۰۰۰ کیلومتر",نیم ساعت پیش در تهرانپارس شرقی,"۳۲۲,۰۰۰,۰۰۰ تومان"
وانت پراید 151 SE، مدل ۱۴۰۳,"۱۰,۶۶۰ کیلومتر",نیم ساعت پیش در شهرک تختی,"۳۵۰,۰۰۰,۰۰۰ تومان"
پراید 111 SE، مدل ۱۳۹۶,"۹۶,۰۰۰ کیلومتر",نیم ساعت پیش در خواجه نصیر طوسی,"۳۰۸,۰۰۰,۰۰۰ تومان"
پراید Saba GLXI، مدل ۱۳۸۹,"۴۰۹,۰۰۰ کیلومتر",نیم ساعت پیش در شهرک ولیعصر,"۱۶۴,۰۰۰,۰۰۰ تومان"
پراید صبا ،بنزینی، مدل ۱۳۸۸,"۳۰۰,۰۰۰ کیلومتر",نیم ساعت پیش در شهرک مسلمین,"۲۱۰,۰۰۰,۰۰۰ تومان"
